Filipino,English
Ako,I
Ikaw/Ka,You
Siya,He/She/It
Tayo,We (inclusive)
Kami,We (exclusive)
Sila,They
Ito,This
Iyan/Iyon,That
Dito,Here
Doon,There
Oo,Yes
Hindi,No
Siguro,Maybe
Paki,Please
Salamat,Thank you
Pasensiya na,Excuse me
Kumusta,Hello
Paalam,Goodbye
Magandang umaga,Good morning
Magandang hapon,Good afternoon
Magandang gabi,Good evening
Kumusta ka,How are you
Mabuti ako,I am fine
Ano ang pangalan mo,What is your name
Ang pangalan ko ay,My name is
Magkano,How much
Nasaan,Where is
Bakit,Why
Kailan,When
Gusto,Want
Kailangan,Need
Pag-ibig/Mahal,Love
Gusto,Like
Magsalita,Speak
Naiintindihan,Understand
Kumain,Eat
Uminom,Drink
Matulog,Sleep
Lumakad,Walk
Tumakbo,Run
Pumunta,Go
Pumunta,Come
Magbigay,Give
Kumuha,Take
Magtanong,Ask
Alam,Know
Makita,See
Makinig,Hear
Pakiramdam,Feel
Gumawa,Make
Gumawa,Do
Sabihin,Say
Sabihin,Tell
Ipakita,Show
Trabaho,Work
Mag-aral,Study
Magbasa,Read
Magsulat,Write
Buksan,Open
Isara,Close
Magsimula,Start
Itigil,Stop
Tapos na,Finished
Maghintay,Wait
Tulungan,Help
Tumawag,Call
Tingnan,Look
Hanapin,Find
Bumili,Buy
Magbenta,Sell
Magbayad,Pay
Maghugas,Wash
Linisin,Clean
Magluto,Cook
Tumira/Mabuhay,Live
Mamatay,Die
Matanda,Old
Bago,New
Malaki,Big
Maliit,Small
Mahaba,Long
Maikli,Short
Mabuti/Maganda,Good
Masama,Bad
Masaya,Happy
Malungkot,Sad
Galit,Angry
Pagod,Tired
Mainit,Hot
Malamig,Cold
Madali,Easy
Mahirap,Difficult
Mabilis,Fast
Mabagal,Slow
Maaga,Early
Huli,Late
Mataas,High
Mababa,Low
Malapit,Near
Malayo,Far
Araw,Day
Gabi,Night
Umaga,Morning
Hapon,Afternoon
Gabi,Evening
Oras,Time
Oras,Hour
Minuto,Minute
Segundo,Second
Ngayon,Today
Bukas,Tomorrow
Kahapon,Yesterday
Linggo,Week
Buwan,Month
Taon,Year
Pera,Money
Bangko,Bank
Tindahan,Store
Pamilihan,Market
Bahay,House
Silid,Room
Kama,Bed
Silya,Chair
Mesa,Table
Pinto,Door
Bintana,Window
Tubig,Water
Pagkain,Food
Tinapay,Bread
Kanin,Rice
Isda,Fish
Karne,Meat
Gulay,Vegetable
Prutas,Fruit
Kape,Coffee
Tsaa,Tea
Gatas,Milk
Asukal,Sugar
Asin,Salt
Kutsara,Spoon
Tinedor,Fork
Kutsilyo,Knife
Plato,Plate
Tasa,Cup
Sasakyan,Car
Bus,Bus
Tren,Train
Eroplano,Airplane
Daan,Road
Kalye,Street
Lungsod,City
Bayan,Town
Bansa,Country
Mundo,World
Tao,Person
Lalaki,Man
Babae,Woman
Bata,Child
Kaibigan,Friend
Pamilya,Family
Ama,Father
Ina,Mother
Kapatid na lalaki,Brother
Kapatid na babae,Sister
Anak na lalaki,Son
Anak na babae,Daughter
Alaga,Pet
Aso,Dog
Pusa,Cat
Ibon,Bird
Puno,Tree
Bulaklak,Flower
Araw (bituin),Sun
Buwan,Moon
Bituin,Star
Langit,Sky
Ulan,Rain
Ulap,Cloud
Hangin,Wind
Apoy,Fire
Hangin,Air
Lupa,Land
Tubig (noun),Water (noun)
Aklat,Book
Papel,Paper
Lapis,Pencil
Bolpen,Pen
Bag,Bag
Damit,Clothes
Sapatos,Shoe
Kulay,Color
Pula,Red
Asul,Blue
Berde,Green
Dilaw,Yellow
Itim,Black
Puti,White
Liwanag,Light
Madilim,Dark
Malinis,Clean (adj)
Marumi,Dirty
Malakas,Strong
Mahina,Weak
Malambot,Soft
Matigas,Hard
Mabigat,Heavy
Magaan,Light (weight)
Puno,Full
Walang laman,Empty
Una,First
Huli,Last
Susunod,Next
Bago,Before
Pagkatapos,After
Lagi,Always
Hindi kailanman,Never
Madalas,Often
Minsan,Sometimes
Di magtatagal,Soon
Ngayon,Now
Mamaya,Later
Minsan,Once
Dalawang beses,Twice
Marami,Many
Ilan,Few
Lahat,All
Ilan,Some
Wala,None
Marami,Much
Konti,Little (quantity)
Iba pa,Another
Bawat isa,Each
Bawat,Every
Gayundin,Also
Lang,Just
Lamang,Only
Kahit,Even
Napak,Very
Masyado,Too
Sapat,Enough
Kayang,Able
Handa,Ready
Abala,Busy
Libre,Free (not busy)
May sakit,Sick
Malusog,Healthy
Matipuno,Strong (well-built)
Pagod,Tired (adj)
Gutom,Hungry
Nauuhaw,Thirsty
Mataas (height),Tall
Maliit,Short (height)
Manipis,Thin
Makapal,Thick
Malawak,Wide
Makipot,Narrow
Malalim,Deep
Mababaw,Shallow
Totoo,True
Mali,False
Tama,Correct
Mali,Wrong
Tiyak,Certain
Maaari,Possible
Kailangan,Necessary
Mahalaga,Important
Ligtas,Safe
Mapanganib,Dangerous
Tahimik,Quiet
Malakas,Loud
Matamis,Sweet
Maasim,Sour
Mapait,Bitter
Maalat,Salty
Maanghang,Spicy
Maganda,Beautiful
Pangit,Ugly
Nakakatawa,Funny
Seryoso,Serious
Mabait,Kind
Bastos,Rude
Magalang,Polite
Galit,Angry (adj)
Takot,Afraid (adj)
Masaya,Happy (adj)
Excited,Excited
Naiinip,Bored (adj)
Nagulat,Surprised (adj)
Malungkot,Sad (adj)
Pagod,Tired (adj)
Luha,Tears
Tumawa,Laugh
Ngumiti,Smile (verb)
Umiyak,Cry (verb)
Saktan,Hurt (verb)
Maghintay,Wait (verb)
Makinig,Listen (verb)
Kumanta,Sing (verb)
Sumayaw,Dance (verb)
Maglaro,Play (verb)
Magmadali,Hurry (verb)
Manatili,Stay (verb)
Umupo,Sit (verb)
Tumayo,Stand (verb)
Humiga,Lie down (verb)
Tingnan,Look at (verb)
Manood,Watch (verb)
Makinig,Hear (verb)
Hawakan,Touch (verb)
Amuyin,Smell (verb)
Tikman,Taste (verb)
Mag-isip,Think (verb)
Maniwala,Believe (verb)
Tandaan,Remember (verb)
Kalimutan,Forget (verb)
Subukan,Try (verb)
Magdesisyon,Decide (verb)
Palitan,Change (verb)
Tulungan,Help (verb)
Manalo,Win (verb)
Matatalo,Lose (verb)
Makipagkita,Meet (verb)
Mag-imbita,Invite (verb)
Bumisita,Visit (verb)
Pasalamatan,Thank (verb)
Mahalin,Love (verb)
Mami-miss,Miss (verb)
Umasa,Hope (verb)
Hilingin,Wish (verb)
Sumang-ayon,Agree (verb)
Bumili,Buy (verb)
Magbenta,Sell (verb)
Buksan,Open (verb)
Isara,Close (verb)
Magsimula,Start (verb)
Itigil,Stop (verb)
Tapusin,Finish (verb)
Linisin,Clean (verb)
Dumumi,Dirty (verb)
Baliin,Break (verb)
Ayusin,Fix (verb)
Huliin,Catch (verb)
Ihagis,Throw (verb)
Magdala,Bring (verb)
Kumuha,Take (verb)
Magsuot,Wear (verb)
Gupitin,Cut (verb)
Punuin,Fill (verb)
Ubusin,Empty (verb)
Hanapin,Find (verb)
Mawalan,Lose (verb)
Magsulat,Write (verb)
Magbasa,Read (verb)
Matuto,Learn (verb)
Magturo,Teach (verb)
Magluto,Cook (verb)
Kumain,Eat (verb)
Uminom,Drink (verb)
Matulog,Sleep (verb)
Gumising,Wake up (verb)
Lumabas,Go out (verb)
Pumasok,Come in (verb)
Bilisan,Hurry up (verb)
Hintayin,Wait for (verb)
Tumawag,Call (verb)
Sagutin,Answer (verb)
Magtanong,Ask (verb)
Magpaliwanag,Explain (verb)
Maintindihan,Understand (verb)
Mag-alala,Worry (verb)
Maramdaman,Feel (verb)
Maging,Be (verb)
Magkaroon,Have (verb)
Gumawa,Do (verb)
Sabihin,Say (verb)
Magkuwento,Tell (verb)
Makita,See (verb)
Pumunta,Go (verb)
Pumunta,Come (verb)
Gumawa,Make (verb)
Alamin,Know (verb)
Mag-isip,Think (verb)
Kunin,Take (verb)
Tumingin,Look (verb)
Gusto,Want (verb)
Ibigay,Give (verb)
Gamitin,Use (verb)
Hanapin,Find (verb)
Kailangan,Need (verb)
Magtrabaho,Work (verb)
Maging,Become (verb)
Umalis,Leave (verb)
Ilagay,Put (verb)
Ibig sabihin,Mean (verb)
Panatilihin,Keep (verb)
Hayaan,Let (verb)
Magsimula,Begin (verb)
Mukhang,Seem (verb)
Tulungan,Help (verb)
Magsalita,Talk (verb)
Lumingon,Turn (verb)
Magsimula,Start (verb)
Ipakita,Show (verb)
Marinig,Hear (verb)
Maglaro,Play (verb)
Tumakbo,Run (verb)
Gumagalaw,Move (verb)
Mabuhay,Live (verb)
Maniwala,Believe (verb)
Hawakan,Hold (verb)
Dalhin,Bring (verb)
Mangyari,Happen (verb)
Dapat,Must (modal)
Dapat,Should (modal)
Maaari,Can (modal)
Baka,Could (modal)
Ay ,Will (modal)
Gawin,Would (modal)
Baka,May (modal)
Maaaring,Might (modal)
